Macrotrends Data Download

Germany GDP 1970-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1970-12-31,215.83844813766,2761.1668
1971-12-31,249.9850554843,3192.1336,3.1327
1972-12-31,299.80154204748,3809.9814,4.3003
1973-12-31,398.3740219539,5046.7551,4.7775
1974-12-31,445.30348424155,5639.0776,0.8901
1975-12-31,490.63651721122,6236.3589,-0.8667
1976-12-31,519.75445316141,6634.8569,4.9493
1977-12-31,600.49823801904,7682.9538,3.3472
1978-12-31,740.46998344693,9482.0428,3.0085
1979-12-31,881.34517660869,11281.0233,4.1504
1980-12-31,950.29085646654,12138.3081,1.4088
1981-12-31,800.47205538728,10209.0731,0.5292
1982-12-31,776.57643910696,9913.7376,-0.3948
1983-12-31,770.6843232478,9864.3449,1.5724
1984-12-31,725.11112363411,9313.1694,2.8229
1985-12-31,732.5348870582,9429.5692,2.3279
1986-12-31,1046.2593749437,13461.831,2.2873
1987-12-31,1298.1761055495,16677.5108,1.4022
1988-12-31,1401.2332253035,17931.2823,3.7072
1989-12-31,1398.9674368043,17764.3764,3.8966
1990-12-31,1771.6712068757,22303.9613,5.255
1991-12-31,1868.9451974072,23357.7577,5.1083
1992-12-31,2131.5716969318,26438.2304,1.9231
1993-12-31,2071.3237903703,25522.6296,-0.9768
1994-12-31,2205.074123177,27076.6068,2.3919
1995-12-31,2585.7922751467,31658.3494,1.5441
1996-12-31,2497.2446061866,30485.8665,0.8058
1997-12-31,2211.98962328,26964.0495,1.7922
1998-12-31,2238.9907747027,27289.0594,2.0139
1999-12-31,2194.9452788726,26734.9425,1.8873
2000-12-31,1947.9819910118,23694.7605,2.9125
2001-12-31,1945.7909738031,23628.3272,1.6815
2002-12-31,2078.4845174745,25197.2656,-0.198
2003-12-31,2501.6403884824,30310.3576,-0.7001
2004-12-31,2814.3538693591,34106.6581,1.1751
2005-12-31,2846.8642111751,34520.2396,0.7317
2006-12-31,2994.7036420235,36353.8803,3.8164
2007-12-31,3425.5783829216,41640.0809,2.9765
2008-12-31,3745.2640936172,45612.7106,0.9599
2009-12-31,3411.2612126523,41650.3678,-5.6938
2010-12-31,3399.66782,41572.4559,4.1799
2011-12-31,3749.3149910506,46705.8958,3.9252
2012-12-31,3527.1431887852,43855.8545,0.4185
2013-12-31,3733.804649549,46298.9229,0.4376
2014-12-31,3889.0930510235,48023.87,2.2095
2015-12-31,3357.5857193516,41103.2564,1.4919
2016-12-31,3469.8534639455,42136.1208,2.23
2017-12-31,3690.8491525177,44652.5892,2.6802
2018-12-31,3977.2894553882,47973.6076,1.086
2019-12-31,3888.3267886274,46794.8993,1.0555
2020-12-31,3846.4139286537,46252.6893,-4.5696
2021-12-31,4223.1162059689,50801.7867,2.8926
