Macrotrends Data Download

U.K. GDP 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,73.233967692103,1397.5948
1961-12-31,77.741965703354,1472.3857,2.6771
1962-12-31,81.247564156825,1525.7759,1.1029
1963-12-31,86.561961812325,1613.4569,4.8744
1964-12-31,94.407558351162,1748.2881,5.5337
1965-12-31,101.82475507899,1873.5678,2.1422
1966-12-31,108.57275210205,1986.7472,1.5731
1967-12-31,113.11688821079,2058.7819,2.7865
1968-12-31,107.75991006789,1951.7586,5.4411
1969-12-31,116.46470280322,2100.6679,1.9241
1970-12-31,130.6719462443,2347.5443,6.3179
1971-12-31,148.11389632514,2649.8015,3.5047
1972-12-31,169.96503496504,3030.4325,4.3217
1973-12-31,192.53797158256,3426.2762,6.5238
1974-12-31,206.13136979897,3665.8628,-2.4844
1975-12-31,241.75663716814,4299.7456,-1.4736
1976-12-31,232.61455525606,4138.1678,2.9103
1977-12-31,263.06645735217,4681.4399,2.4578
1978-12-31,335.88302972196,5976.9382,4.2043
1979-12-31,438.99407030919,7804.7621,3.749
1980-12-31,564.94771089937,10032.0621,-2.0314
1981-12-31,540.76567524116,9599.3062,-0.7877
1982-12-31,515.04891684137,9146.0774,1.9949
1983-12-31,489.61800818554,8691.5188,4.2219
1984-12-31,461.48709763235,8179.1944,2.2691
1985-12-31,489.28516427105,8652.2165,4.1474
1986-12-31,601.45265318089,10611.1122,3.1503
1987-12-31,745.16260826933,13118.5865,5.3927
1988-12-31,910.1227321238,15987.1681,5.7324
1989-12-31,926.88481675393,16239.2822,2.5776
1990-12-31,1093.1693892046,19095.467,0.7338
1991-12-31,1142.7971781305,19900.7267,-1.1031
1992-12-31,1179.6595296595,20487.1708,0.4011
1993-12-31,1061.3887222555,18389.0196,2.4898
1994-12-31,1140.4897459443,19709.2381,3.846
1995-12-31,1346.4225974436,23206.5686,2.5317
1996-12-31,1421.5148205928,24438.5312,2.4285
1997-12-31,1559.5694171578,26742.9848,4.909
1998-12-31,1653.3918516065,28269.3225,3.154
1999-12-31,1685.7628215499,28726.8572,2.9901
2000-12-31,1662.1274020275,28223.0676,3.6724
2001-12-31,1643.9081617965,27806.4488,2.0727
2002-12-31,1784.0767386091,30049.8963,2.1232
2003-12-31,2057.093877551,34487.4676,3.0299
2004-12-31,2421.8143537166,40371.7108,2.3556
2005-12-31,2544.8290909091,42132.0907,2.5933
2006-12-31,2717.0597976081,44654.0969,2.5841
2007-12-31,3106.1824729892,50653.2569,2.2695
2008-12-31,2938.8823529412,47549.3486,-0.2396
2009-12-31,2425.7984109674,38952.211,-4.2474
2010-12-31,2491.1100934542,39688.615,2.1314
2011-12-31,2674.8914738438,42284.8845,1.4576
2012-12-31,2719.1583410058,42686.8001,1.4699
2013-12-31,2803.2914060299,43713.8141,1.89
2014-12-31,3087.1656029629,47787.2413,2.9912
2015-12-31,2956.5737787378,45404.5678,2.6226
2016-12-31,2722.8519584862,41499.5557,2.2635
2017-12-31,2699.0167151114,40857.7556,2.1345
2018-12-31,2900.7914425541,43646.952,1.6509
2019-12-31,2878.6739124144,43070.4984,1.6719
2020-12-31,2756.9002141073,41098.0787,-9.2704
2021-12-31,3186.859739185,47334.3553,7.4413
